zemlja,country,date,cases,deaths,recovered
Belgija,Belgium,2020-02-14,1,0,0
Belgija,Belgium,2020-02-21,1,0,1
Belgija,Belgium,2020-02-28,1,0,1
Belgija,Belgium,2020-03-06,109,0,1
Belgija,Belgium,2020-03-13,559,3,1
Belgija,Belgium,2020-03-20,2257,37,1
Nizozemska,Netherlands,2020-02-28,1,0,0
Nizozemska,Netherlands,2020-03-06,128,1,0
Nizozemska,Netherlands,2020-03-13,804,10,0
Nizozemska,Netherlands,2020-03-20,2994,106,2
Francuska,France,2020-02-14,11,0,2
Francuska,France,2020-02-21,12,1,4
Francuska,France,2020-02-28,57,2,11
Francuska,France,2020-03-06,653,9,12
Francuska,France,2020-03-13,3661,79,12
Francuska,France,2020-03-20,12612,450,12
Njemačka,Germany,2020-02-14,16,0,1
Njemačka,Germany,2020-02-21,16,0,14
Njemačka,Germany,2020-02-28,48,0,16
Njemačka,Germany,2020-03-06,670,0,17
Njemačka,Germany,2020-03-13,3675,7,46
Njemačka,Germany,2020-03-20,19848,67,180
Austrija,Austria,2020-02-28,3,0,0
Austrija,Austria,2020-03-06,55,0,0
Austrija,Austria,2020-03-13,504,1,6
Austrija,Austria,2020-03-20,2388,6,9
Slovenija,Slovenia,2020-03-06,7,0,0
Slovenija,Slovenia,2020-03-13,141,0,0
Slovenija,Slovenia,2020-03-20,341,1,0
Švicarska,Switzerland,2020-02-28,8,0,0
Švicarska,Switzerland,2020-03-06,214,1,3
Švicarska,Switzerland,2020-03-13,1139,11,4
Švicarska,Switzerland,2020-03-20,5294,54,15
Italija,Italy,2020-02-14,3,0,0
Italija,Italy,2020-02-21,20,1,0
Italija,Italy,2020-02-28,888,21,46
Italija,Italy,2020-03-06,4636,197,523
Italija,Italy,2020-03-13,17660,1266,1439
Italija,Italy,2020-03-20,47021,4032,4440
Španjolska,Spain,2020-02-21,2,0,2
Španjolska,Spain,2020-02-28,32,0,2
Španjolska,Spain,2020-03-06,400,5,2
Španjolska,Spain,2020-03-13,5232,133,193
Španjolska,Spain,2020-03-20,20410,1043,1588
Češka,Czechia,2020-03-06,18,0,0
Češka,Czechia,2020-03-13,141,0,0
Češka,Czechia,2020-03-20,833,0,4
Slovačka,Slovakia,2020-03-06,1,0,0
Slovačka,Slovakia,2020-03-13,32,0,0
Slovačka,Slovakia,2020-03-20,137,1,0
Poljska,Poland,2020-03-06,5,0,0
Poljska,Poland,2020-03-13,68,2,0
Poljska,Poland,2020-03-20,425,5,1
Mađarska,Hungary,2020-03-06,2,0,0
Mađarska,Hungary,2020-03-13,19,0,0
Mađarska,Hungary,2020-03-20,85,3,2
Hrvatska,Croatia,2020-02-28,5,0,0
Hrvatska,Croatia,2020-03-06,11,0,0
Hrvatska,Croatia,2020-03-13,32,0,1
Hrvatska,Croatia,2020-03-20,128,1,5
Grčka,Greece,2020-02-28,4,0,0
Grčka,Greece,2020-03-06,45,0,0
Grčka,Greece,2020-03-13,190,1,0
Grčka,Greece,2020-03-20,495,6,19
Bosna i Hercegovina,Bosnia and Herzegovina,2020-03-06,2,0,0
Bosna i Hercegovina,Bosnia and Herzegovina,2020-03-13,13,0,0
Bosna i Hercegovina,Bosnia and Herzegovina,2020-03-20,89,0,2
Srbija,Serbia,2020-03-06,1,0,0
Srbija,Serbia,2020-03-13,35,0,0
Srbija,Serbia,2020-03-20,135,1,1
Albanija,Albania,2020-03-13,33,1,0
Albanija,Albania,2020-03-20,70,2,0
Iran,Iran,2020-02-21,18,4,0
Iran,Iran,2020-02-28,388,34,73
Iran,Iran,2020-03-06,4747,124,913
Iran,Iran,2020-03-13,11364,514,2959
Iran,Iran,2020-03-20,19644,1433,6745
Rusija,Russia,2020-02-14,2,0,2
Rusija,Russia,2020-02-21,2,0,2
Rusija,Russia,2020-02-28,2,0,2
Rusija,Russia,2020-03-06,13,0,2
Rusija,Russia,2020-03-13,45,0,3
Rusija,Russia,2020-03-20,253,1,9
Brazil,Brazil,2020-02-28,1,0,0
Brazil,Brazil,2020-03-06,13,0,0
Brazil,Brazil,2020-03-13,151,0,0
Brazil,Brazil,2020-03-20,793,11,2
Finska,Finland,2020-02-14,1,0,1
Finska,Finland,2020-02-21,1,0,1
Finska,Finland,2020-02-28,2,0,1
Finska,Finland,2020-03-06,15,0,1
Finska,Finland,2020-03-13,155,0,1
Finska,Finland,2020-03-20,450,0,10
Norveška,Norway,2020-02-28,6,0,0
Norveška,Norway,2020-03-06,108,0,0
Norveška,Norway,2020-03-13,996,0,1
Norveška,Norway,2020-03-20,1914,7,1
Švedska,Sweden,2020-02-14,1,0,0
Švedska,Sweden,2020-02-21,1,0,0
Švedska,Sweden,2020-02-28,7,0,0
Švedska,Sweden,2020-03-06,101,0,0
Švedska,Sweden,2020-03-13,814,1,1
Švedska,Sweden,2020-03-20,1639,16,16
Danska,Denmark,2020-02-28,1,0,0
Danska,Denmark,2020-03-06,23,0,1
Danska,Denmark,2020-03-13,801,0,1
Danska,Denmark,2020-03-20,1255,9,1
Japan,Japan,2020-02-14,29,1,9
Japan,Japan,2020-02-21,105,1,22
Japan,Japan,2020-02-28,228,4,22
Japan,Japan,2020-03-06,420,6,46
Japan,Japan,2020-03-13,701,19,118
Japan,Japan,2020-03-20,963,33,191
Tajland,Thailand,2020-02-14,33,0,12
Tajland,Thailand,2020-02-21,35,0,17
Tajland,Thailand,2020-02-28,41,0,28
Tajland,Thailand,2020-03-06,48,1,31
Tajland,Thailand,2020-03-13,75,1,35
Tajland,Thailand,2020-03-20,322,1,42
Južna Koreja,South Korea,2020-02-14,28,0,7
Južna Koreja,South Korea,2020-02-21,204,2,16
Južna Koreja,South Korea,2020-02-28,2337,13,22
Južna Koreja,South Korea,2020-03-06,6593,42,135
Južna Koreja,South Korea,2020-03-13,7979,66,510
Južna Koreja,South Korea,2020-03-20,8652,94,1540
Kina,China,2020-02-14,54406,1457,4774
Kina,China,2020-02-21,62662,2144,11881
Kina,China,2020-02-28,65914,2682,26403
Kina,China,2020-03-06,67592,2931,42033
Kina,China,2020-03-13,67786,3062,51553
Kina,China,2020-03-20,67800,3133,58382
Tajvan,Taiwan,2020-02-14,18,0,2
Tajvan,Taiwan,2020-02-21,26,1,2
Tajvan,Taiwan,2020-02-28,34,1,6
Tajvan,Taiwan,2020-03-06,45,1,12
Tajvan,Taiwan,2020-03-13,50,1,20
Tajvan,Taiwan,2020-03-20,135,2,26
Singapur,Singapore,2020-02-14,67,0,17
Singapur,Singapore,2020-02-21,85,0,37
Singapur,Singapore,2020-02-28,93,0,62
Singapur,Singapore,2020-03-06,130,0,78
Singapur,Singapore,2020-03-13,200,0,97
Singapur,Singapore,2020-03-20,385,0,124
Indonezija,Indonesia,2020-03-06,4,0,0
Indonezija,Indonesia,2020-03-13,69,4,2
Indonezija,Indonesia,2020-03-20,369,32,15
Malazija,Malaysia,2020-02-14,19,0,3
Malazija,Malaysia,2020-02-21,22,0,15
Malazija,Malaysia,2020-02-28,23,0,18
Malazija,Malaysia,2020-03-06,83,0,22
Malazija,Malaysia,2020-03-13,197,0,26
Malazija,Malaysia,2020-03-20,1030,3,87
